match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
Sri Lanka Vs Pakistan,Sri Lanka,7,Dasun Shanaka(c),c Babar Azam b Shaheen Shah Afridi,12,18,0,0,66.66,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,8,Dunith Wellalage,c Abdullah Shafique b Haris Rauf,10,8,1,0,125.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,9,Maheesh Theekshana, b Haris Rauf,0,4,0,0,0.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,10,Matheesha Pathirana,,1,3,0,0,33.33,not_out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,1,Abdullah Shafique,c sub (MADI Hemantha) b Pathirana,113,103,10,3,109.70,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,2,Imam-ul-Haq,c Perera b Madushanka,12,12,1,0,100.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,3,Babar Azam(c),c †Samarawickrama b Madushanka,10,15,1,0,66.66,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,4,Mohammad Rizwan†,,131,121,8,3,108.26,not_out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,5,Saud Shakeel,c Wellalage b Theekshana,31,30,2,0,103.33,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,6,Iftikhar Ahmed,,22,10,4,0,220.00,not_out,ODI # 4665
England Vs Bangladesh,England,1,Jonny Bairstow, b Shakib Al Hasan,52,59,8,0,88.13,out,ODI # 4664
England Vs Bangladesh,England,2,Dawid Malan, b Mahedi Hasan,140,107,16,5,130.84,out,ODI # 4664
England Vs Bangladesh,England,3,Joe Root,c †Mushfiqur Rahim b Shoriful Islam,82,68,8,1,120.58,out,ODI # 4664
England Vs Bangladesh,England,4,Jos Buttler(c)†, b Shoriful Islam,20,10,1,1,200.00,out,ODI # 4664
